system,smearing,bisection_style,ef_ev,qe_reported_ef_ev,ef_minus_qe_ev,n_at_ef,n_electrons_target
Cu_FCC,fermi_dirac,pwdft_bracket,19.2056057435,19.205600,+0.000006,19.0000000000,19.000000
Cu_FCC,fermi_dirac,qe_count,19.2056057436,19.205600,+0.000006,19.0000000001,19.000000
Cu_FCC,gaussian,pwdft_bracket,19.1246903321,19.205600,-0.080910,19.0000000000,19.000000
Cu_FCC,gaussian,qe_count,19.1246903322,19.205600,-0.080910,19.0000000000,19.000000
Cu_FCC,mp1,pwdft_bracket,19.1036243903,19.205600,-0.101976,19.0000000000,19.000000
Cu_FCC,mp1,qe_count,19.1036243904,19.205600,-0.101976,19.0000000001,19.000000
Fe_BCC_FM,fermi_dirac,pwdft_bracket,26.2006150149,26.200600,+0.000015,16.0000000000,16.000000
Fe_BCC_FM,fermi_dirac,qe_count,26.2006150148,26.200600,+0.000015,15.9999999999,16.000000
Fe_BCC_FM,gaussian,pwdft_bracket,26.1307145196,26.200600,-0.069885,16.0000000000,16.000000
Fe_BCC_FM,gaussian,qe_count,26.1307145196,26.200600,-0.069885,16.0000000000,16.000000
Fe_BCC_FM,mp1,pwdft_bracket,26.0912993577,26.200600,-0.109301,16.0000000000,16.000000
Fe_BCC_FM,mp1,qe_count,26.0912993577,26.200600,-0.109301,16.0000000000,16.000000
NaCl,fermi_dirac,pwdft_bracket,3.4705782529,3.470400,+0.000178,16.0000000000,16.000000
NaCl,fermi_dirac,qe_count,3.4703641766,3.470400,-0.000036,15.9999999999,16.000000
NaCl,gaussian,pwdft_bracket,1.9010529249,3.470400,-1.569347,16.0000000000,16.000000
NaCl,gaussian,qe_count,2.8852933202,3.470400,-0.585107,16.0000000000,16.000000
NaCl,mp1,pwdft_bracket,1.2525149261,3.470400,-2.217885,16.0000000000,16.000000
NaCl,mp1,qe_count,2.8852933202,3.470400,-0.585107,16.0000000000,16.000000
C_diamond,fermi_dirac,pwdft_bracket,15.8872899104,15.887300,-0.000010,8.0000000000,8.000000
C_diamond,fermi_dirac,qe_count,15.8873339019,15.887300,+0.000034,8.0000000001,8.000000
C_diamond,gaussian,pwdft_bracket,14.7647742621,15.887300,-1.122526,8.0000000000,8.000000
C_diamond,gaussian,qe_count,16.4688548281,15.887300,+0.581555,8.0000000000,8.000000
C_diamond,mp1,pwdft_bracket,14.1377439108,15.887300,-1.749556,8.0000000000,8.000000
C_diamond,mp1,qe_count,16.4688548281,15.887300,+0.581555,8.0000000000,8.000000
MgO,fermi_dirac,pwdft_bracket,10.2064663287,10.206400,+0.000066,16.0000000000,16.000000
MgO,fermi_dirac,qe_count,10.2064565619,10.206400,+0.000057,15.9999999999,16.000000
MgO,gaussian,pwdft_bracket,9.2258529249,10.206400,-0.980547,16.0000000000,16.000000
MgO,gaussian,qe_count,10.7510245702,10.206400,+0.544625,16.0000000000,16.000000
MgO,mp1,pwdft_bracket,8.6075435195,10.206400,-1.598856,16.0000000000,16.000000
MgO,mp1,qe_count,10.7510245702,10.206400,+0.544625,16.0000000000,16.000000
