system,i1,i2,i3,rho_e_per_ang3
c_diamond,0,0,0,2.7867538235e-01
c_diamond,0,5,3,1.3600088790e+00
c_diamond,0,10,6,1.0562727461e+00
c_diamond,0,15,9,1.1777779624e+00
c_diamond,0,20,12,6.4668610515e-01
c_diamond,0,25,15,3.8107124375e-01
c_diamond,0,30,18,4.4704120474e-01
c_diamond,1,3,21,1.0335669403e+00
c_diamond,1,8,24,1.0973829111e+00
c_diamond,1,13,27,5.0561217963e-01
c_diamond,1,18,30,5.0025914051e-01
c_diamond,1,24,1,1.3234786788e+00
c_diamond,1,29,4,1.6378468435e+00
c_diamond,2,2,7,1.0469835079e+00
c_diamond,2,7,10,1.5455600650e+00
c_diamond,2,12,13,1.3806926106e+00
c_diamond,2,17,16,4.7334103527e-01
c_diamond,2,22,19,2.5106034633e-01
c_diamond,2,27,22,4.8893125528e-01
c_diamond,3,0,25,1.5300135090e+00
c_diamond,3,5,28,1.5451707945e+00
c_diamond,3,10,31,7.7882583985e-01
c_diamond,3,16,2,1.0744103184e+00
c_diamond,3,21,5,1.1482657583e+00
c_diamond,3,26,8,1.0264145556e+00
c_diamond,3,31,11,7.3805366510e-01
c_diamond,4,4,14,1.5162150590e+00
c_diamond,4,9,17,1.1314094479e+00
c_diamond,4,14,20,4.0835959525e-01
c_diamond,4,19,23,2.7353877945e-01
c_diamond,4,24,26,6.6555196598e-01
c_diamond,4,29,29,1.6759400069e+00
c_diamond,5,3,0,1.3600088790e+00
c_diamond,5,8,3,1.3600088790e+00
c_diamond,5,13,6,1.6923487123e+00
c_diamond,5,18,9,9.4875665653e-01
c_diamond,5,23,12,4.4909369777e-01
c_diamond,5,28,15,5.2219511667e-01
c_diamond,6,1,18,1.0787742579e+00
c_diamond,6,6,21,9.4607995274e-01
c_diamond,6,11,24,4.7334080503e-01
c_diamond,6,16,27,4.7484492137e-01
c_diamond,6,21,30,8.5806764170e-01
c_diamond,6,27,1,1.5455633761e+00
c_diamond,7,0,4,9.9469930009e-01
c_diamond,7,5,7,1.6893576273e+00
c_diamond,7,10,10,1.4239935092e+00
c_diamond,7,15,13,7.1060861527e-01
c_diamond,7,20,16,2.6481765883e-01
