projector_index,l,q_bohr_inv,F_l_q_bohr_3halves
0,0,1.000000000000e-01,5.806422161999e+00
0,0,4.631578947368e-01,5.770266766918e+00
0,0,8.263157894737e-01,5.678161848047e+00
0,0,1.189473684211e+00,5.510879763941e+00
0,0,1.552631578947e+00,5.245322774922e+00
0,0,1.915789473684e+00,4.861915652822e+00
0,0,2.278947368421e+00,4.351875264237e+00
0,0,2.642105263158e+00,3.722617138831e+00
0,0,3.005263157895e+00,2.999956457942e+00
0,0,3.368421052632e+00,2.226460785655e+00
0,0,3.731578947368e+00,1.456155645697e+00
0,0,4.094736842105e+00,7.465824426028e-01
0,0,4.457894736842e+00,1.497846111046e-01
0,0,4.821052631579e+00,-2.959719529720e-01
0,0,5.184210526316e+00,-5.720989419044e-01
0,0,5.547368421053e+00,-6.820697489319e-01
0,0,5.910526315789e+00,-6.498892185142e-01
0,0,6.273684210526e+00,-5.150518713354e-01
0,0,6.636842105263e+00,-3.250816325429e-01
0,0,7.000000000000e+00,-1.271816280621e-01
1,0,1.000000000000e-01,1.118310071980e+01
1,0,4.631578947368e-01,1.058399157438e+01
1,0,8.263157894737e-01,9.292354980233e+00
1,0,1.189473684211e+00,7.483250910974e+00
1,0,1.552631578947e+00,5.394908072168e+00
1,0,1.915789473684e+00,3.289323163534e+00
1,0,2.278947368421e+00,1.410283755822e+00
1,0,2.642105263158e+00,-5.354782145997e-02
1,0,3.005263157895e+00,-9.940594897767e-01
1,0,3.368421052632e+00,-1.393624435080e+00
1,0,3.731578947368e+00,-1.318671502670e+00
1,0,4.094736842105e+00,-8.991743729702e-01
1,0,4.457894736842e+00,-2.988914630306e-01
1,0,4.821052631579e+00,3.173626798352e-01
1,0,5.184210526316e+00,8.130229260825e-01
1,0,5.547368421053e+00,1.100437787603e+00
1,0,5.910526315789e+00,1.149810578276e+00
1,0,6.273684210526e+00,9.859302827656e-01
1,0,6.636842105263e+00,6.746867795376e-01
1,0,7.000000000000e+00,3.032254482306e-01
2,1,1.000000000000e-01,7.355489189833e-02
2,1,4.631578947368e-01,3.577393040258e-01
2,1,8.263157894737e-01,7.011961453197e-01
2,1,1.189473684211e+00,1.125875448921e+00
2,1,1.552631578947e+00,1.619411970066e+00
2,1,1.915789473684e+00,2.133753668437e+00
2,1,2.278947368421e+00,2.594219114297e+00
2,1,2.642105263158e+00,2.916778705613e+00
2,1,3.005263157895e+00,3.029122750954e+00
2,1,3.368421052632e+00,2.890027036154e+00
2,1,3.731578947368e+00,2.501926104215e+00
2,1,4.094736842105e+00,1.913338708177e+00
2,1,4.457894736842e+00,1.210387992578e+00
2,1,4.821052631579e+00,4.994285065034e-01
2,1,5.184210526316e+00,-1.149918957189e-01
2,1,5.547368421053e+00,-5.515087106954e-01
2,1,5.910526315789e+00,-7.676052197932e-01
2,1,6.273684210526e+00,-7.660542044376e-01
2,1,6.636842105263e+00,-5.909952959205e-01
2,1,7.000000000000e+00,-3.150679331410e-01
3,1,1.000000000000e-01,5.592319356526e-01
3,1,4.631578947368e-01,2.491714139821e+00
3,1,8.263157894737e-01,4.063198183262e+00
3,1,1.189473684211e+00,5.063740533068e+00
3,1,1.552631578947e+00,5.390571912368e+00
3,1,1.915789473684e+00,5.063147690720e+00
3,1,2.278947368421e+00,4.212454994645e+00
3,1,2.642105263158e+00,3.047857344202e+00
3,1,3.005263157895e+00,1.809746968957e+00
3,1,3.368421052632e+00,7.191524173542e-01
3,1,3.731578947368e+00,-6.441386754857e-02
3,1,4.094736842105e+00,-4.681162796820e-01
3,1,4.457894736842e+00,-5.096860800227e-01
3,1,4.821052631579e+00,-2.809921124052e-01
3,1,5.184210526316e+00,8.308484572751e-02
3,1,5.547368421053e+00,4.418492889925e-01
3,1,5.910526315789e+00,6.827353239682e-01
3,1,6.273684210526e+00,7.442941218086e-01
3,1,6.636842105263e+00,6.238935041285e-01
3,1,7.000000000000e+00,3.699518808731e-01
4,2,1.000000000000e-01,-9.333555558695e-05
4,2,4.631578947368e-01,-8.709124145328e-04
4,2,8.263157894737e-01,5.143310594237e-03
