system,shell_index,g_bohr_inv,g2_units_of_tpba2,rho_core_g_e_per_bohr3,rho_core_g_e_per_ang3
si,0,0.000000000000e+00,0,2.737924250771e-03,1.847642866508e-02
si,1,1.060380727715e+00,3,2.286146980575e-03,1.542768452874e-02
si,2,1.224422197179e+00,4,2.151750969556e-03,1.452073529164e-02
si,3,1.731594477321e+00,8,1.684439192007e-03,1.136715910348e-02
si,4,2.030474506513e+00,11,1.397992606103e-03,9.434121726962e-03
si,5,2.120761455429e+00,12,1.313055028352e-03,8.860934541136e-03
fe,0,0.000000000000e+00,0,3.657158514849e-02,2.467972895798e-01
fe,1,1.638377980197e+00,2,3.334550567168e-02,2.250266261641e-01
fe,2,2.317016359889e+00,4,3.038715643018e-02,2.050626959306e-01
fe,3,2.837753903704e+00,6,2.767540503807e-02,1.867628904704e-01
fe,4,3.276755960395e+00,8,2.519076868047e-02,1.699957332319e-01
fe,5,3.663524536560e+00,10,2.291527082058e-02,1.546399125316e-01
cu,0,0.000000000000e+00,0,3.788856981260e-02,2.556847426175e-01
cu,1,1.595273484719e+00,3,3.551562620231e-02,2.396713253984e-01
cu,2,1.842063151667e+00,4,3.475607205447e-02,2.345455999420e-01
cu,3,2.605070691836e+00,8,3.186715663729e-02,2.150502323802e-01
cu,4,3.054716157110e+00,11,2.984943238666e-02,2.014339542191e-01
cu,5,3.190546969438e+00,12,2.920380728143e-02,1.970770600510e-01
mn,0,0.000000000000e+00,0,5.146938823487e-02,3.473326480414e-01
mn,1,1.627039724279e+00,2,4.624857215825e-02,3.121008348215e-01
mn,2,2.300981644595e+00,4,4.152630248740e-02,2.802333795089e-01
mn,3,2.818115468384e+00,6,3.725730685883e-02,2.514247690514e-01
mn,4,3.254079448558e+00,8,3.340036566956e-02,2.253968397802e-01
mn,5,3.638171425580e+00,10,2.991791322440e-02,2.018960858187e-01
ga,0,0.000000000000e+00,0,2.605401007606e-02,1.758211749190e-01
ga,1,1.018711790376e+00,3,2.438268642553e-02,1.645425238764e-01
ga,2,1.176307052800e+00,4,2.384825896596e-02,1.609360286162e-01
ga,3,1.663549387585e+00,8,2.181815994304e-02,1.472362413523e-01
ga,4,1.950684566194e+00,11,2.040281549611e-02,1.376850235994e-01
ga,5,2.037423580752e+00,12,1.995040842781e-02,1.346320293747e-01
as,0,0.000000000000e+00,0,2.621437187661e-02,1.769033499892e-01
as,1,1.018711790376e+00,3,2.475922280393e-02,1.670835173073e-01
as,2,1.176307052800e+00,4,2.429122332324e-02,1.639253002682e-01
as,3,1.663549387585e+00,8,2.250071067303e-02,1.518423219878e-01
as,4,1.950684566194e+00,11,2.123961168995e-02,1.433320042192e-01
as,5,2.037423580752e+00,12,2.083413144598e-02,1.405956879020e-01
o,0,0.000000000000e+00,0,4.558242148477e-03,3.076054272531e-02
o,1,1.367425952480e+00,3,4.374580203053e-03,2.952113048366e-02
o,2,1.578967483522e+00,4,4.314915650278e-03,2.911849412406e-02
o,3,2.232997229743e+00,8,4.083788618192e-03,2.755877160080e-02
o,4,2.618421349507e+00,11,3.918098001421e-03,2.644063589621e-02
o,5,2.734851904959e+00,12,3.864278926916e-03,2.607744677926e-02
cl,0,0.000000000000e+00,0,6.274320487891e-03,4.234121337861e-02
cl,1,1.025923960237e+00,3,5.841929208760e-03,3.942329239449e-02
cl,2,1.184634949222e+00,4,5.704110082644e-03,3.849324283170e-02
cl,3,1.675326811651e+00,8,5.182658375447e-03,3.497431228876e-02
cl,4,1.964494820056e+00,11,4.821169817935e-03,3.253486658670e-02
cl,5,2.051847920475e+00,12,4.706000010905e-03,3.175766220518e-02
