system,term_name,qe_value_eV,pwdft_value_eV,delta_meV
Si,one_electron,66.224981,66.242295,+17.3
Si,hartree,15.103771,15.089152,-14.6
Si,xc,-84.396319,-84.455090,-58.8
Si,ewald,-228.530380,-228.519187,+11.2
Si,total,-231.609625,-231.642830,-33.2
C_diamond,one_electron,115.687486,117.409200,+1721.7
C_diamond,hartree,24.876394,24.290728,-585.7
C_diamond,xc,-117.047138,-116.720477,+326.7
C_diamond,ewald,-347.923256,-347.935997,-12.7
C_diamond,total,-324.406515,-322.956546,+1450.0
Al,one_electron,39.257811,39.254842,-3.0
Al,hartree,0.099548,0.099431,-0.1
Al,xc,-30.211216,-30.240856,-29.6
Al,ewald,-73.362610,-73.355987,+6.6
Al,total,-64.317443,-64.242568,+74.9
Fe_BCC_FM,one_electron,-691.938097,-680.951846,+10986.3
Fe_BCC_FM,hartree,362.471428,361.769096,-702.3
Fe_BCC_FM,xc,-393.259244,-392.328309,+930.9
Fe_BCC_FM,ewald,-2337.173254,-2337.167210,+6.0
Fe_BCC_FM,total,-3060.157794,-3048.655476,+11502.3
Cu_FCC,one_electron,-2033.882532,-1996.850048,+37032.5
Cu_FCC,hartree,1040.511256,1015.943298,-24568.0
Cu_FCC,xc,-559.128501,-554.400942,+4727.6
Cu_FCC,ewald,-3301.024895,-3301.024865,+0.0
Cu_FCC,total,-4853.640932,-4836.332881,+17308.1
GaAs,one_electron,-1464.998720,-1411.903266,+53095.5
GaAs,hartree,1008.217707,984.672900,-23544.8
GaAs,xc,-1033.743940,-1028.051978,+5692.0
GaAs,ewald,-2698.991675,-2699.061941,-70.3
GaAs,total,-4189.586049,-4154.344288,+35241.8
NaCl,one_electron,-874.769786,-859.799404,+14970.4
NaCl,hartree,475.122027,466.188395,-8933.6
NaCl,xc,-289.449366,-287.597556,+1851.8
NaCl,ewald,-940.588756,-940.489230,+99.5
NaCl,total,-1629.685882,-1621.697794,+7988.1
MgO,one_electron,-884.650746,-866.552281,+18098.5
MgO,hartree,480.688029,470.792877,-9895.2
MgO,xc,-309.742242,-307.389782,+2352.5
MgO,ewald,-1289.535765,-1289.385660,+150.1
MgO,total,-2003.240726,-1992.534818,+10705.9
