element,proj_index,l,q_bohr_inv,q_per_ang,F_bohr_3halves,F_ang_3halves
Si,0,0,0.000000000000e+00,0.000000000000e+00,5.808123222350e+00,2.235823522894e+00
Si,0,0,1.000000000000e-01,1.889726124626e-01,5.806422161999e+00,2.235168703669e+00
Si,0,0,5.000000000000e-01,9.448630623129e-01,5.763733304995e+00,2.218735727474e+00
Si,0,0,1.000000000000e+00,1.889726124626e+00,5.608948041910e+00,2.159151500529e+00
Si,0,0,2.000000000000e+00,3.779452249252e+00,4.754941777705e+00,1.830403775815e+00
Si,0,0,3.000000000000e+00,5.669178373877e+00,3.010912698862e+00,1.159043839083e+00
Si,0,0,4.000000000000e+00,7.558904498503e+00,9.227418623986e-01,3.552073333381e-01
Si,0,0,5.000000000000e+00,9.448630623129e+00,-4.535358154279e-01,-1.745875570799e-01
Si,0,0,6.000000000000e+00,1.133835674775e+01,-6.244385853240e-01,-2.403761807769e-01
Si,0,0,7.000000000000e+00,1.322808287238e+01,-1.271816280621e-01,-4.895827185744e-02
Si,1,0,0.000000000000e+00,0.000000000000e+00,1.121295719428e+01,4.316401787020e+00
Si,1,0,1.000000000000e-01,1.889726124626e-01,1.118310071980e+01,4.304908606624e+00
Si,1,0,5.000000000000e-01,9.448630623129e-01,1.048225031730e+01,4.035117874583e+00
Si,1,0,1.000000000000e+00,1.889726124626e+00,8.478099038165e+00,3.263624501976e+00
Si,1,0,2.000000000000e+00,3.779452249252e+00,2.825408159938e+00,1.087634298366e+00
Si,1,0,3.000000000000e+00,5.669178373877e+00,-9.843570489548e-01,-3.789259560663e-01
Si,1,0,4.000000000000e+00,7.558904498503e+00,-1.032950276327e+00,-3.976318058999e-01
Si,1,0,5.000000000000e+00,9.448630623129e+00,5.834345995286e-01,2.245917918334e-01
Si,1,0,6.000000000000e+00,1.133835674775e+01,1.127249812998e+00,4.339321931705e-01
Si,1,0,7.000000000000e+00,1.322808287238e+01,3.032254482306e-01,1.167259308971e-01
Si,2,1,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
Si,2,1,1.000000000000e-01,1.889726124626e-01,7.355489189833e-02,2.831478452410e-02
Si,2,1,5.000000000000e-01,9.448630623129e-01,3.892791305622e-01,1.498520957223e-01
Si,2,1,1.000000000000e+00,1.889726124626e+00,8.940593263299e-01,3.441660578032e-01
Si,2,1,2.000000000000e+00,3.779452249252e+00,2.248395674325e+00,8.655146843451e-01
Si,2,1,3.000000000000e+00,5.669178373877e+00,3.029239118127e+00,1.166098551545e+00
Si,2,1,4.000000000000e+00,7.558904498503e+00,2.081918788915e+00,8.014297945850e-01
Si,2,1,5.000000000000e+00,9.448630623129e+00,1.787812388091e-01,6.882142197732e-02
Si,2,1,6.000000000000e+00,1.133835674775e+01,-7.863550403937e-01,-3.027055434866e-01
Si,2,1,7.000000000000e+00,1.322808287238e+01,-3.150679331410e-01,-1.212846679140e-01
Si,3,1,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
Si,3,1,1.000000000000e-01,1.889726124626e-01,5.592319356526e-01,2.152750326774e-01
Si,3,1,5.000000000000e-01,9.448630623129e-01,2.671814329053e+00,1.028508710475e+00
Si,3,1,1.000000000000e+00,1.889726124626e+00,4.622075703912e+00,1.779257289797e+00
Si,3,1,2.000000000000e+00,3.779452249252e+00,4.905786627060e+00,1.888471149661e+00
Si,3,1,3.000000000000e+00,5.669178373877e+00,1.827114149297e+00,7.033433413208e-01
Si,3,1,4.000000000000e+00,7.558904498503e+00,-3.999367681109e-01,-1.539547285036e-01
Si,3,1,5.000000000000e+00,9.448630623129e+00,-1.094642447584e-01,-4.213800637096e-02
Si,3,1,6.000000000000e+00,1.133835674775e+01,7.156379860151e-01,2.754831779140e-01
Si,3,1,7.000000000000e+00,1.322808287238e+01,3.699518808731e-01,1.424121159159e-01
Si,4,2,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
Si,4,2,1.000000000000e-01,1.889726124626e-01,-9.333555558695e-05,-3.592930499489e-05
Si,4,2,5.000000000000e-01,9.448630623129e-01,-7.895101889406e-04,-3.039201105799e-04
Si,4,2,1.000000000000e+00,1.889726124626e+00,1.501036840406e-02,5.778206398232e-03
Si,4,2,2.000000000000e+00,3.779452249252e+00,2.873022631731e-01,1.105963378517e-01
Si,4,2,3.000000000000e+00,5.669178373877e+00,1.081849257394e+00,4.164553549071e-01
Si,4,2,4.000000000000e+00,7.558904498503e+00,1.992029836231e+00,7.668272513595e-01
Si,4,2,5.000000000000e+00,9.448630623129e+00,2.084660097757e+00,8.024850550466e-01
Si,4,2,6.000000000000e+00,1.133835674775e+01,1.077377653405e+00,4.147340213538e-01
Si,4,2,7.000000000000e+00,1.322808287238e+01,-8.076745137141e-02,-3.109124251454e-02
Si,5,2,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
Si,5,2,1.000000000000e-01,1.889726124626e-01,7.336037699951e-03,2.823990646630e-03
Si,5,2,5.000000000000e-01,9.448630623129e-01,1.808012470270e-01,6.959901944162e-02
Si,5,2,1.000000000000e+00,1.889726124626e+00,6.897752044268e-01,2.655273603067e-01
Si,5,2,2.000000000000e+00,3.779452249252e+00,2.196924999959e+00,8.457011679851e-01
Si,5,2,3.000000000000e+00,5.669178373877e+00,2.963880527168e+00,1.140938914001e+00
Si,5,2,4.000000000000e+00,7.558904498503e+00,1.794340844309e+00,6.907273338069e-01
Si,5,2,5.000000000000e+00,9.448630623129e+00,-2.722577544709e-01,-1.048049892251e-01
Si,5,2,6.000000000000e+00,1.133835674775e+01,-1.001391228077e+00,-3.854832236924e-01
Si,5,2,7.000000000000e+00,1.322808287238e+01,-1.342243490827e-01,-5.166935093069e-02
C,0,0,0.000000000000e+00,0.000000000000e+00,3.292405419804e+00,1.267403807167e+00
C,0,0,1.000000000000e-01,1.889726124626e-01,3.291875612247e+00,1.267199858981e+00
C,0,0,5.000000000000e-01,9.448630623129e-01,3.278992204173e+00,1.262240421013e+00
C,0,0,1.000000000000e+00,1.889726124626e+00,3.236732850622e+00,1.245972781173e+00
C,0,0,2.000000000000e+00,3.779452249252e+00,3.041973930825e+00,1.171000788068e+00
C,0,0,3.000000000000e+00,5.669178373877e+00,2.656495675432e+00,1.022611830400e+00
C,0,0,4.000000000000e+00,7.558904498503e+00,2.072321406612e+00,7.977353045938e-01
C,0,0,5.000000000000e+00,9.448630623129e+00,1.369875949312e+00,5.273305599189e-01
C,0,0,6.000000000000e+00,1.133835674775e+01,6.987465668516e-01,2.689808654019e-01
C,0,0,7.000000000000e+00,1.322808287238e+01,2.045579986307e-01,7.874412570565e-02
C,1,0,0.000000000000e+00,0.000000000000e+00,7.134685424835e+00,2.746480556734e+00
C,1,0,1.000000000000e-01,1.889726124626e-01,7.124535388949e+00,2.742573324032e+00
C,1,0,5.000000000000e-01,9.448630623129e-01,6.883696917849e+00,2.649863114849e+00
C,1,0,1.000000000000e+00,1.889726124626e+00,6.164494520760e+00,2.373007825184e+00
C,1,0,2.000000000000e+00,3.779452249252e+00,3.750131470375e+00,1.443604385518e+00
C,1,0,3.000000000000e+00,5.669178373877e+00,1.068091195330e+00,4.111592209212e-01
C,1,0,4.000000000000e+00,7.558904498503e+00,-7.409061237951e-01,-2.852100887707e-01
C,1,0,5.000000000000e+00,9.448630623129e+00,-1.199099192249e+00,-4.615904445686e-01
C,1,0,6.000000000000e+00,1.133835674775e+01,-6.332283459948e-01,-2.437597786994e-01
C,1,0,7.000000000000e+00,1.322808287238e+01,1.946235111478e-01,7.491986785990e-02
C,2,1,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
C,2,1,1.000000000000e-01,1.889726124626e-01,1.990621822940e-02,7.662852399187e-03
C,2,1,5.000000000000e-01,9.448630623129e-01,1.010078712781e-01,3.888274507193e-02
C,2,1,1.000000000000e+00,1.889726124626e+00,2.108395447638e-01,8.116219227671e-02
C,2,1,2.000000000000e+00,3.779452249252e+00,4.806951764999e-01,1.850424899431e-01
C,2,1,3.000000000000e+00,5.669178373877e+00,8.148275042745e-01,3.136659522215e-01
C,2,1,4.000000000000e+00,7.558904498503e+00,1.144704285590e+00,4.406512517903e-01
