system,atom_label,r_bin_center_ang,rho_avg_e_per_ang3,n_bin_points
c_diamond,C0,0.02000000,2.7867538235e-01,1
c_diamond,C0,0.06000000,4.8921763275e-01,12
c_diamond,C0,0.10000000,6.7296553864e-01,6
c_diamond,C0,0.14000000,8.7929123469e-01,36
c_diamond,C0,0.18000000,1.1178668520e+00,32
c_diamond,C0,0.22000000,1.3461549247e+00,90
c_diamond,C0,0.26000000,1.5244259298e+00,72
c_diamond,C0,0.30000000,1.6183209188e+00,132
c_diamond,C0,0.34000000,1.6767098340e+00,174
c_diamond,C0,0.38000000,1.6693012216e+00,212
c_diamond,C0,0.42000000,1.6168724402e+00,288
c_diamond,C0,0.46000000,1.5249458774e+00,354
c_diamond,C0,0.50000000,1.4252945686e+00,312
c_diamond,C0,0.54000000,1.3391214927e+00,402
c_diamond,C0,0.58000000,1.2351393503e+00,464
c_diamond,C0,0.62000000,1.1386604201e+00,516
c_diamond,C0,0.66000000,1.0461569887e+00,702
c_diamond,C0,0.70000000,9.5626971845e-01,732
c_diamond,C0,0.74000000,8.7960587688e-01,744
c_diamond,C0,0.78000000,8.1718228838e-01,1058
c_diamond,C0,0.82000000,7.5873137949e-01,768
c_diamond,C0,0.86000000,7.2815409054e-01,1140
c_diamond,C0,0.90000000,6.8543324343e-01,1206
c_diamond,C0,0.94000000,6.5296674398e-01,1308
c_diamond,C0,0.98000000,6.5154813186e-01,1256
c_diamond,C0,1.02000000,6.2838621037e-01,1518
c_diamond,C0,1.06000000,6.4120448279e-01,1575
c_diamond,C0,1.10000000,6.1285673261e-01,1317
c_diamond,C0,1.14000000,5.6417330821e-01,1340
c_diamond,C0,1.18000000,5.4966874426e-01,1311
c_diamond,C0,1.22000000,5.2228504115e-01,1215
c_diamond,C0,1.26000000,5.1427079974e-01,927
c_diamond,C0,1.30000000,5.0673198318e-01,1005
c_diamond,C0,1.34000000,5.0378996347e-01,887
c_diamond,C0,1.38000000,5.3221165841e-01,819
c_diamond,C0,1.42000000,5.1887402937e-01,777
c_diamond,C0,1.46000000,5.0694877078e-01,675
c_diamond,C0,1.50000000,5.4045530693e-01,708
c_diamond,C0,1.54000000,5.7043179984e-01,587
c_diamond,C0,1.58000000,5.6658122085e-01,621
c_diamond,C0,1.62000000,5.6232267799e-01,501
c_diamond,C0,1.66000000,6.2467958848e-01,489
c_diamond,C0,1.70000000,6.5070148937e-01,468
c_diamond,C0,1.74000000,6.5249930659e-01,401
c_diamond,C0,1.78000000,6.9145856035e-01,333
c_diamond,C0,1.82000000,7.2932428036e-01,354
c_diamond,C0,1.86000000,7.2224837498e-01,297
c_diamond,C0,1.90000000,7.2813854465e-01,282
c_diamond,C0,1.94000000,7.4752560084e-01,251
c_diamond,C0,1.98000000,6.8057711757e-01,210
