element,z_valence,omega_bohr3,v_local_g0_ry,v_local_g0_ev,n_atoms_this_species
Si,4.0,270.256419,4.9357942183e-02,6.7154901452e-01,2
C,4.0,76.567759,1.1361541393e-01,1.5458164559e+00,2
Al,3.0,112.073176,1.0272540480e-02,1.3976503336e-01,1
Fe,16.0,79.764986,3.8025606308e-01,5.1736473024e+00,1
Cu,19.0,79.370335,5.6934378151e-01,7.7463167727e+00,1
Ga,13.0,304.770948,1.6133417202e-01,2.1950632347e+00,1
As,15.0,304.770948,1.8407187397e-01,2.5044254298e+00,1
Na,9.0,298.506529,6.2828748568e-02,8.5482867232e-01,1
Cl,7.0,298.506529,5.9522344580e-02,8.0984275432e-01,1
Mg,10.0,126.067081,1.4656355993e-01,1.9940988195e+00,1
O,6.0,126.067081,9.9544522612e-02,1.3543722267e+00,1
