shell_index,g_bohr_inv,g2_units_of_tpba2,v_local_g_ry
0,1.060380727715e+00,3,-2.841606566785e-01
1,1.224422197179e+00,4,-2.023276098115e-01
2,1.731594477321e+00,8,-8.161925996586e-02
3,2.030474506513e+00,11,-5.014397835187e-02
4,2.120761455429e+00,12,-4.338196207308e-02
5,2.448844394358e+00,16,-2.558580822795e-02
6,2.668566310866e+00,19,-1.780165239799e-02
7,2.737891266052e+00,20,-1.583212910008e-02
8,2.999209612826e+00,24,-9.997072014970e-03
9,3.181142183144e+00,27,-7.094890485173e-03
10,3.463188954643e+00,32,-3.935042712239e-03
11,3.621889703355e+00,35,-2.694332348493e-03
12,3.673266591537e+00,36,-2.358473495748e-03
13,3.871962960754e+00,40,-1.310847911822e-03
14,4.014536642897e+00,43,-7.645585925520e-04
15,4.060949013026e+00,44,-6.174697223713e-04
16,4.241522910859e+00,48,-1.654589337969e-04
17,4.372061743737e+00,51,6.138642265651e-05
18,4.414717014746e+00,52,1.203971000259e-04
19,4.581368358605e+00,56,2.914152630391e-04
